연번,용어명,용어설명,유사용어
709,운반신고,화약류를 운반할 때는 화약류의 종류 및 수량을 제외한 다른 것은 방송지를 관할하는 경찰서장에게 신고하여야 한다.,運搬申告
710,운반재해,"갱내의 광차나 컨베이어 등의 운반기기에 치이거나 끼이어 다치며, 특히 광차에 의한 사고가 많다.",運搬災害
711,워터제트,"높은 압력과 속도로 물을 분사시켜, 이로 인한 충격 에너지에 의하여 파쇄하는 공법이다. 소음과 분진의 발생은 거의 없으나, 장비가 비싸고 철골 및 철근의 절단이 어려우며 물의 배수 처리를 해야 하는 등 문제점이 많아 국내에서는 거의 사용되지 않고 있다.",water jet
712,원거리효과,"폭발 효과는 폭력이 미치는 거리에 따라, 폭발 위치 주위에 발생하는 근접 효과와 비교적 먼 거리에 발생하는 원거리 효과로 나눈다.",
713,원광,광산에서 채광되어 나온 광석을 말함.,原鑛
714,원뿔형볼밀,"원통형의 양단을 원뿔 모양으로 한 것으로서, 선별 공장에서 각종 광석의 처리뿐만 아니라 선별 공장 이 외에도 석회석, 점토, 시멘트 및 활석 등의 분쇄에 널리 이용된다. 하딘지 볼 밀(harding ball mill)은 동의어.",conical ball mill
715,원뿔형중액분리기,"중액 선별 중 고체 분산액을 의중액이라 한다. 의중액이 위아래로 비중의 차이가 생기는 것을 어느정도 방지하는 분리기가 원뿔형 중액 분리기 이다. 중앙의 수직축 둘레에 날개가 붙은 교반장치를 가진 기계이다. 광석이 중액면에서 어느 정도의 깊이까지 들어가 충분히 잠기도록 하여야 하며, 가라앉은 무거운 광석은 경사면에 따라 에어리프트 아래 원뿔의 꼭지점까지 내려가서 중액의 상승수류에 의하여 운반되어 배출구로 나간다. 사용 후 회수한 중액과 새로 보급하는 중액은 작은 통에 공급되어 각각 길이가 다른 파이프를 통하여 중액 속으로 고루 들어간다.",選別機
716,원심분급기,"1939년 드리센(Driessen, M.G.)에 의하여 개발되어 오늘날 널리 이용되고 있다. 이것의 대표적인 것이 사이클론 분급기(cyclone classifier)이다. 이 분급기는 입자 침강 속도가 입자 지름의 제곱에 비례 한다는 것을 이용해서 분급을 한다고 생각해도 좋다. 사이클론에는 건식과 습식이 있는데, 건식 사이클론은 유체로서 공기를 사용하며, 습식 사이클론은 물을 사용하고 있다.",
717,원심압축기,"터어빈 펌프와 같은 원리로 임펠러를 회전시켜 그 원심력으로 공기를 압축한다. 이 압축기는 압력 효율이 낮고, 1단의 임펠러로써 1.2배의 압축밖에 안된다. 따라서, 갱 내용 압축을 하려면 10-11단의 임펠러를 필요로 하므로, 우리 나라 광산에서는 사용하지 않고 있으나 도이칠란트의 광산에서는 이것을 사용하고 있다.",
718,원심여과,여과재로 만든 원통 속에 광액을 넣은 다음 고속으로 회전시킴으로써 원심력에 의하여 여액을 분리시키는 여과 방법이다. 그러나 화학 공장과 같은 특수한 경우를 제외하고는 현장에서 잘 쓰이지 않고 있다.,
719,원심형선풍기,선풍기의 종류에는 원심형 선풍기와 프로펠러형 선풍기가 있으나 주로 원심형 선풍기가 많이 이용된다. 원심형 선풍기는 다음과 같은 법칙을 가지고 있다. (1)통기량은 선풍기의 회전수에 비례한다. (2)선풍기에 생기는 부압은 회전수의 제곱에 비례한다. (3)선풍기의 동력은 회전수의 세제곱에 비례한다.,
720,원탄품위,가행 탄층의 전체 품위 혹은 선탄 설비에 투입되는 석탄의 품위를 말한다.,"原炭品位, Grade of raw coal"
721,원통형건조기,"원통을 약간 경사지게 하고 천천히 돌리면서 위로부터 광석을 부어 넣고, 아래로부터 가열된 뜨거운 열풍을 불어 올려서 말린다. 보통 단일 원통 속에서 광석의 성질상 기체와 직접 접촉을 꺼리는 경우, 이중 동체로 된 간열형을 쓸 수 있다. 이 때에는 원통 중앙에 놓이 별개의 관을 통해서 가열 가스가 들어와 다시 방향을 바꾸어 역류하게 한다.",
722,원통형자력선별기,"반원형의 자석이 원통의 회전과는 관계 없이 고정되어 있으며, 전자석의 극은 하나하나가 교대로 극성이 다르도록 코일을 연결해 놓고 있다. 자석을 둘러싼 회전 원통은 놋쇠나 그 밖의 비자성체로 만들어져 있다. 급광이 원통의 표면을 따라 이동할 때, 극성이 차례로 바뀜에 따라 자성 광물 속에 섞여 있던 비자성인 맥석을 밖으로 밀어 내어 중력으로 떨어지게 한다.",drum type magnetic separator
723,원형여과판,"""아메리칸 진공 여과기"" 참조.",
724,웨곤드릴,고속도 굴진이나 갱도 굴착용 드릴.,wagon drill
725,웨너법,비저항 탐사에서 사용하는 전극 배열법.,wenner
726,웨더릴-로안드자력선별기,"약자성 광물의 잔 입자를 선별하는 데 효과적인 기계이다. 급광용 벨트 컨베이어를 사이에 두고, 위아래에 강력한 말굽 전자석을 서로 극성이 다른 것끼리 마주 보도록 설치하였다.",Wetherill-Rowand
727,유공충,"석회질 각을 분비하는 원생 동물. 수많은 아주 작은 구멍과 여러개 방을 갖고 있으며 대부분 바다에 살지만 담수에 사는 것도 알려졌다. 형태와 생식 방법을 고려하여 5개의 아목(亞目) 96개의 과(科)로 분류한다. 부유성인 것과 저서성인 것이 있으며, 부유성인 것은 해수의 분포와 이동에 따라, 저서성인 것은 수심과 저질(低質)의 상태에 따라 좌우되므로 지층의 퇴적환경 해석과 세계적인 지층 대비에 매우 유효하다. 캄브리아기부터 현재까지 살고 있다.","有孔蟲, foraminifer"
728,유기광상,"기존에 있는 화성암, 변성암 등에 지표에서 물리적인 힘에 의해서 유용광물이 한곳에 많이 모여서 만들어진 광상이다. 여기에는 석탄, 석유, 인광등이 여기에 해당한다.",
729,유기적퇴적광상,"생물의 사체가 쌓여서 농집된 광상을 말하며, 석회석, 석탄, 규조토 등이 여기에 속한다. 석유도 생물체 자체의 퇴적은 아니지만 그 성분이 생물의 분해 생성물이므로, 그 물질의 근원으로 보면 넓은 의미의 유기적 퇴적 광상에 속한다. 석유는 미생물의 분해 생성물로서 액체로 존재하기 때문에 지하에 이것을 담을 수 있는 적당한 장소가 필요하다. 그 장소로서 습곡의 배사 구조가 좋은 보기라 하겠다. 석탄은 식물이 땅속에 묻혀 분해되면서 탄소만 남은 것으로서, 처음에는 토탄이 되었다가 보다 큰 압력을 받으면서 산소와 수소 성분이 적어지고, 상대적으로 탄소 성분이 증가하면서 갈탄, 역청탄, 무연탄 등의 순으로 변해 가는데, 우리 나라의 석탄은 대부분 무연탄이다.",
730,유도분극법,"달리 I·P법 이라고도 하며 자연 전위법이 광체 자체에 의해 형성 되는 자연 발생의 저전위를 측정하는 데 반해 유도 분극법은 지하에 전류를 흐르게 하여 지하에 강제로 분극 현상을 일으킴으로써 황철광, 황동광, 휘수연광, 흑연, 자철광과 같은 전기 도체 광물을 함유하는 암석의 케페시텐스(capacitance)역할과 비슷한 특성을 찾은 데 있다.",
731,유리기포,"""액체폭약조의 에멀션 폭약"" 참조",glass bubble
732,유리산시험,"화약의 안정도 시험의 하나. 청색 리트머스 시험지를 시험관에 넣고 시험 종이의 색깔의 변화 상태를 관찰한다. 무연 화약이나 면화약 시료는 6시간 이내, 그 밖의 화약은 4시간 이내에 시험 종이 전부가 청색으로 변하면 불합격품이다. 그러나 니트로글리세린이나 니트로셀룰로오스를 함유하지 않은 초안 폭약은 유리산 시험 결과만으로는 불합격품인지를 알 수 없기 때문에 가열 시험도 실시하여야 한다.",
733,유상포집제,"일반적으로 이온화하는 시약만이 포집 작용을 하는 것으로 알고 있으나 이온화하지 않는 기름류가 포집제로 쓰이기도 한다. 등유 및 경유 등은 흑연, 석탄 그리고 황화광물 중에서도 몰리브덴과 같은 광물들의 부선에 좋은 포집제로서 기포제와 함께 소량 사용한다.",
734,유색암,"달리 매픽(mafic)암이라고도 함. 진한 색깔을 띠는 흑운모, 각섬석, 휘석 및 사장석을 주성분으로 한다. 화성암을 마그마의 냉각 속도, 깊이 또는 조직과 색깔을 기준으로 분류하면 상기의 표와 같다. 이 표에서 유문암과 화강암은 비슷한 색깔을 띠나 조직이 서로 다르고, 화강암과 섬록암은 색은 다르지만 조직이 같은 암석임을 알 수 있다. 화성암은 화학 성분에 따라 더욱 세분되어 수십 가지의 암석으로 분류된다.",염기성암
735,유스코우프,신틸레이션 계수기의 종류.,U-scope
736,유연탄,"남한에는 없으며 북한에서 생산된다. 탈 때 연기가 많아 유연탄(토탄, 역청탄)이라 부르며, 무연탄 보다 탄화가 덜되어 탄소의 양은 적으나 휘발성분이 많아 불이 잘 붙으며 탈 때 노랑 불꽃을 내며 화력이 무연탄 보다 강하다. 주로 화력발전용, 시멘트 소성용, 제철소 코오크스 제조용, 화학 공업원료용 등으로 쓰인다.","有煙炭, Flaming coal"
737,유우니버셜커터,"가로, 세로 어느 방향 이든지 마음대로 자를 수 있는 커터.",universal cutter
738,유포,"지층 속에서 석유나 가스가 모여있는 부분. 유포의 형태는 매우 다양하지만 대개 구조 유포, 층서적인 유포, 이들의 조합으로 나눌 수 있다. 달리 트랩이라고도 한다.","油捕, trap"
739,유화수소,"공기보다 1.190배 무거우며, 무색이다. 달걀 &#50026;은 냄새가 나며, 물에 잘 녹는다.(0℃에서 4.6배 용해된다) 공기 중에서 파란 불꽃은 내며 타고 4.3-4.5% 섞인 것은 폭발성이 있다. 사람에게는 독성이 있고, 이것을 호흡하면 현기증, 두통, 구토 위장 장해를 일으키며 농도가 높으면 사망 한다.",
740,육방정계,"3개의 수평축의 길이기 같고 서로 120°로 만나며 위아래축은 길이가 다르고 이들과 수직으로 만난다. 여기에는 수정, 방해석, 인회석, 자황철광 등이 있다. 한 평면상에서 서로 60 °로 교차하는 같은 길이의 3 개의 수평축과, 이들과 직교하면서 길이가 다른 수직축을 가진 결정계. 녹주석·인회석 ·수정 ·방해석 ·전기석 등이 이 정계(晶系)에 속한다. 그러나 일부에서는 더욱 세분화하여 능면체(菱面體)로 대표되는 특수한 형태를 마름모정계로서 독립시키는 경우가 있는데, 방해석 등이 이에 속한다.","六方晶系, hexagonal system"
741,육상골재,"예전에 하천부지 였으나, 현재는 논, 밭 등의 변환지역에 퇴적되어 있는 골재를 표토를 걷어내고 채취한 골재이다.",陸上骨材
742,육성충,"육지에서 운반된 퇴적물로 이루어진 천해성 층. 생성원인에 따라 육상성(陸上成) 퇴적물과 육수성(陸水成) 퇴적물로 대별된다. 육상성 퇴적물에는 바람의 영력(營力)에 의한 사구(砂丘)·사막·화산재·황토·로이스 등의 퇴적물, 빙하에 의해 운반되어 퇴적한 빙퇴석(氷堆石)·빙퇴석암이 있다. 육수성 퇴적물에는 하천에 의한 하성(河成)퇴적물, 호소에 퇴적한 호소퇴적물, 동혈(洞穴)퇴적물 등이 있다. 바람에 의한 사구나 사막의 퇴적물은, 일반적으로 분급(分級)이 잘 되어 있고, 때로 큰 위층(僞層)이 발달하여, 지질시대의 풍향 등을 알아보는 데 도움이 된다. 화산재층은 널리 분포되어 있어서, 과거의 화산활동을 아는 데 중요하며 근년에 테프놀러지(tephnology)라는 새로운 연구분야가 생겼다. 황토나 로이스는 빙하기의 상태를 알아보는 데 도움이 된다. 빙하퇴적물도 지질학적으로 매우 중요하며, 과거에 있어서의 빙하의 존재와 소멸을 미루어 알아볼 수 있다. 하성퇴적물은 과거의 하천의 유로(流路)나 방향, 나아가서는 지형의 상태를 해석하는 데 중요한 구실을 한다. 호소퇴적물은 세립인 경우에는 박층리(薄層理)나 엽리(葉理)가 잘 발달한다. 염호(鹽湖)나 철광상(鐵鑛床)을 함유하는 등의 특수한 호소퇴적물은 당시의 기후를 알아보는 데 도움이 된다. 동혈퇴적물은 흔히 육상동물의 화석을 많이 함유하고 있어 이 분야 연구에 매우 중요하다.","陸成層, terrigenous deposit"
743,은성탄광,"경북 문경시 가은읍 왕릉리(旺陵里)에 있었던 탄광. 경북선 가은역 북서쪽 500m 거리에 있으며 1938년 개발되었다. 6 ·25전쟁과 더불어 한때 조업이 중단되었다가 1950년 11월 다시 개광되었으며, 채광된 석탄은 철도용과 공업용으로 공급되었다. 그 후 생산량이 점차 증가되면서 1960년대 후반에 약 35만 t까지 생산한 바 있으나 심도(深度)가 증가됨에 따라 생산량도 줄어들었다. 광구의 지질은 대석회암통과 단층에 의해 접하고 있는 지역에 고생대의 대석회암통과 평안계(平安系)의 홍점통(紅店統) ·사동통(寺洞統) ·고방산통(高坊山統) 및 녹암통(綠岩統)의 순으로 이루어져 있었으며, 탄질은 좋다. 1994년 7월 말 폐광되었다 지금은 그 옛자리에 문경석탄박물관이 들어서 있으며 2000년 기준 40만명이 찾고 있다.",恩城炭鑛
744,을종탄광,"갑종탄광에 제외된 탄광. ""갑종탄광"" 조 참조.",乙種炭鑛
745,응력,"물체에 외력이 작용하였을 때 그 외력에 저항하여 물체의 형태를 그대로 유지하려고 물체내에 생기는 내력. 변형력(變形力)이라고도 한다. 단면이 균일한 막대기의 양끝을 p라는 힘으로 잡아당겼다고 하면 이 힘 p에 의해 막대기는 늘어나며, 더욱 세게 당기면 마침내 부러지고 만다. 이 힘 p에 대해 막대기 속의 수많은 미소 입자간의 작용과 반작용이 저항한다. 이들 내력은 눈에 보이지 않지만 만일 막대기를 축에 수직인 단면 m-n으로 절단하였다고 하면, m-n의 아랫부분은 하단에 외력 p가 작용하고 있고, 상단에는 윗부분의 여러 입자에서 아랫부분의 여러 입자로 내력이 작용하고 있다. 이 내력은 단면 m-n에 고루 분포하여, 그 단면적 전부는 마치 하단에 작용하는 외력 p와 같은 크기로 되어 있다. 따라서 물체 내의 어떤 단면을 생각하면 이 단면에는 크기가 같고 방향이 반대인 1쌍의 내력이 작용하고 있는 셈이 된다. 이 1쌍의 내력을 응력(변형력)이라 한다. 응력은 작용하는 하중(荷重)의 종류에 따라 전단응력(剪斷應力)·인장응력(장력이라고도 함)·압축응력으로 나눈다. 전단응력은 단면에 평행인 응력(접선 성분)으로 접선응력이라 하고, 인장응력과 압축응력은 단면에 수직인 응력(법선 성분)으로 수직응력 또는 법선응력이라고도 한다. 응력의 세기로는 단위면적당의 힘으로 나타내는 것이 일반적이다. 외력을 p, 단면적을 A, 응력을 σ라 하면 σ=p/A이며, 그 단위로서는 kg/㎠이다.일반적으로 물체내의 동일점에서의 응력이라도 면의 방향에 따라 그 종류나 세기가 다르다.","應力,stress"
746,응용지질학,"광상, 토목공사, 수자원 개발, 환경문제와 같은 다양한 분야에 지질학을 응용하는 지질학의 한 분야.","應用地質學, applied geology"
747,의중액,"비중이 큰 유기 시약돌, 보기를 들면 4브롬화에탄(C2H2Br4), 브롬포름(CHBr3)등은 중액 선별용으로 이상적이기는 하나, 값이 너무 비싸기 때문에 무거운 매질의 가루를 물 속에 현탁, 분산시켜 겉보기 비중이 높은 의중액을 만들어 중액 선별 효과를 거두는 방향으로 발전하게 되었다.",
748,이극성물질,유극기와 무극기를 가진 물질을 말함.,heteropolar substance
749,이론실수율,원광과 정광 및 광미의 품위만으로 계산하는 것을 말함.,
750,이수,질이 좋은 진흙이나 벤토나이트(bentonite)를 물에 섞은 것.,mud water
751,이젝터,사용장전기에 하는 방사기.,Ejector
752,이첩기,"페름기와 동의의. ""페름기""조 참조",
753,이탄,"이끼류 ·갈대 ·사초 등의 화본과식물, 때로는 소나무 ·자작나무 등의 수목질의 유체(遺體)가 분지에 두껍게 퇴적하여 물의 존재하에서 균류 등의 생물화학적인 변화를 받아 분해 ·변질된 것. 토탄(土炭)이라고도 한다. 넓은 뜻으로는 석탄의 한 종류에 포함되지만 일반적으로 석탄과는 구별된다. 이탄은 석탄처럼 지하에 매몰된 수목질이 오랜 세월 동안에 지압(地壓)과 지열작용(石炭化作用이라고 한다)을 받아 생성된 것과는 달리 앞에서 말한 식물질의 주성분인 리그닌 ·셀룰로오스 등이 주로 지표에서 분해작용(泥炭化作用이라고 한다)을 받은 것이다. 이탄은 원식물질의 종류, 분해의 정도 등의 차이에 따라, 툰드라이탄 ·초탄(草炭) ·목질이탄 ·이질이탄(泥質泥炭) 등으로 분류된다. 이들 중에서 이용가치가 가장 높은 것은 초탄이다. 초탄은 갈대 ·사초 등의 화본과식물이 주가 되며, 한랭지 ·고소한랭습지대에서 산출된다.","泥炭, peat, moor coal"
754,인듐,"주기율표 제3B족에 속하는 금속원소. 원소기호 : In 원자번호 : 49 원자량 : 114.82 녹는점 : 156.63℃ 끓는점 : 약 2000℃ 비중 : 7.31(20℃) 황화 금속 광물에 소량 수반되며, 납을 제련할 때에 부산물로 얻어진다. 트랜지스커, 다이오우드, 원자로의 제어 막대(control rod)제조에 이용된다. 1863년 독일의 F.라이히와 H.T.리히터가 섬아연석 속에서 발견하였다. 이때 그들은 그 당시 발견된 분광분석(分光分析)을 사용하여 이 원소를 확인하였는데, 이것의 스펙트럼선이 청색을 나타낸 데서, 라틴어의 indicum(인디고블루)을 따서 인듐이라고 명명하였다. 주로 섬아연석 등 황화광물(黃化鑛物) 속에서 미소량이 발견될 뿐이며, 수권(水圈)·생물권에는 존재하지 않는다. 천연으로는 동위원소인 인듐 l13(4.28%)과 l15(95.72%)가 존재하는데, 115는 천연 방사성핵종이며, 반감기 6×1014년이고, β선을 방출한다. 은백색의 납(蠟)처럼 무른 금속으로, 상온에서 안정한 고체금속 중에서 가장 연하기 때문에 칼로 자를 수도 있으며, 문지르면 곧 부착하고, 굽히면 주석과 같은 소리가 난다. 또 가공하기 쉬우며, 어떤 형태로도 만들 수 있다. 알칼리수용액과는 반응하지 않으나, 산과는 반응하여 녹는다. 화합물은 3가(價)가 안정하다. 항공기용 슬리브베어링, 베어링용 인듐도금, 이융합금(易融合金), 유리 봉착용(封着用) 합금 등에 사용되는데, 산화물·황화물 등은 반도체이며, 전자공업에서 널리 사용된다. 또, 합금에 첨가된 형태로 한란계·의치 등의 충전제로서 이용된다.",indium : In
755,인산염광물,"PO43-을 포함하는 광물. 파이로모르파이트(pyromorphite), 인회석, 녹연광, 은성석등이 그 예이다.","燐酸鹽鑛物, phosphate mineral"
756,인성,재료의 粘性의 강도. 즉 다른힘에 의하여 파괴하기 어려운 성질을 말함.,靭性
757,인장강도,어느 물체가 파열되기 직전의 최대 응력.,"引張强度, tensile strength"
758,인장파괴이론,"폭약은 개방 상태에서 폭발했을 때와 밀폐 상태에서 폭발했을 때 전개되는 압력의 크기 및 지속 시간이 달라지는데, 일반적으로 밀폐 했을 때가 개방 상태보다 암반에 대한 폭약의 작용력이 훨씬 크다.",
759,인차,인원 운반에만 사용하는 차량을 말한다.,"人車, Man car"
760,인회석,"육방정계(六方晶系)에 속하는 광물. 굳기 : 5 비중 : 3.1∼3.2 색깔 : 무색 ·백색 무색, 담록색, 갈색, 회록색의 육방정계 광물족. 화학성분은 Ca5(PO4)3F이다. 육각주상 또는 육각판상(板狀)의 결정을 이루며, 입상 ·괴상(塊狀) ·포도상 ·섬유상 등을 나타낸다. 밑면 및 주면에 불완전한 쪼개짐[劈開]이 있고, 단구(斷口)는 평탄하지 않다. 굳기 5, 비중 3.1∼3.2이다. 무색으로 투명하거나 백색으로 반투명하며, 그 밖에 황색 ·황록색 ·유록색(油綠色) ·청색 ·자색 ·적색 ·갈색 ·회색 등 여러 가지 색을 띤다. 때로는 가열하면 청록색 빛을 내고, 또 자외선을 받아 청록색으로 발광하는 것도 있다. 성분에 변화가 있어서 플루오르 대신에 염소를 가진 것을 염화인회석 Ca5(PO4)3Cl, OH기를 가진 것을 수산화인회석Ca5(PO4)3OH라고 하며, 규산 ·탄산 ·황산을 가진 것도 있다. 42% 가량의 인산을 함유하여,인의 중요한 광석이 된다. 캐나다 ·노르웨이, 미국의 플로리다 등지에서 채굴된다. 아름다운 것은 가공하여 보석으로 사용하지만, 굳기가 낮아서 고급품이 되지는 못한다. 화성암 ·변성암의 부성분 광물로서 산출되며, 페그마타이트나 열수성(熱水成) 광상 ·퇴적암 중에서도 널리 산출된다.","燐灰石, apatite"
761,일반광산,일반광산은 석탄광산과 석유광산을 제외한 모든 광산을 말한다.,一般鑛山
762,일반산업폐기물,"유기물류와 무기물류로 나뉘며 유기물류에는 폐지, 분뇨, 오니 등이며, 무기물류에는 금속편, 건축물 폐재, 폐석면류 등이다.",
763,일산화탄소,"공기 중의 0.96배의 밀도를 가지고 있으며 무색, 무미, 무취하여 물에 용해되지 않는다. 파란 불꽃을 내며 연소 한다. 타 물질의 연소를 돕지 않으며, 공기중에 12.5%-75% 함유하면 폭발성이 농후하다. 또한 강한 독성을 가지고 있으며 이것을 함유한 공기를 호흡하면 생명을 잃게 된다.",
764,일산화탄소검정기,일산화탄소의 농도를 재는 기계로서 일산화탄소 중독자를 발견하였을 경우 사용한다.,
765,임계속도,"트로멜의 회전 속도가 너무 느리면 광립의 층이 무거워져 체질의 효과가 멀어진다. 이와 반대로, 회전 속도가 너무 빠르면 광립은 원심력 때문에 트로멜의 안쪽에 달라 붙어서 회전되므로 체질이 잘 되지 않는다. 이 때의 회전 속도를 임계속도라 한다.",
766,임펙트크러셔,해머 밀의 파쇄기를 개량하여 충격판을 붙여 해머 밀로 파쇄하기 곤란할 정도의 단단한 광석도 효과적으로 처리할 수 있는 기계이다.,impact crusher
767,자기유자율,"광물과 암석은 자기 유자율, 즉 자화성이 강한데, 보기를 들면 자철광, 자류철광 등이 있고, 한편 자화성이 약한 사문암, 현무암, 감람암 등이 있어서 이것이 자력 탐광을 가능하게 하는 원인이 된다.",magnetic susceptibility
768,자기이상대,"자기 자오선상의 종단면도에 지자력이 수평 분력 H곡선과 수직 분력 Z곡선이 변동하는 모양을 실측 결과 그려 넣고, 탐광하고자 하는 구역을 등거리로 직교하는 평행선군으로 나눈 다음, 각 교점마다의 수직 분력을 실측하여 지도에 기입하고 등자력 선을 그려 넣으면 자기 이상대를 쉽게 찾을 수 있다.",magnetic anomaly
769,자기탐사,"물리탐광법의 하나. 자기탐광·자력탐사·자력탐광이라고도 한다. 지표 또는 공중에서 지구자기장을 측정하여, 암석의 대자율(帶磁率)이나 잔류자기 등에 의거한 자기력분포로부터 지하 암석의 자기적 성질, 자성물질의 존재 여부, 지질구조 등을 조사하는 방법을 말한다. 따라서 자성의 차이가 없는 지하에서는 조사할 수 없다. 일반적으로 화성암은 변성암·수성암에 비해 자성이 강하고, 그 중에서도 염기성 화성암은 큰 자성을 가지는 경우가 많다. 변성암은 화성암보다 약하지만, 보통 수성암보다 자성이 강하다. 자기탐사에서는 지하에 있는 각종 암석의 자성을 반영하는 자기력 세기의 지역적 분포를 구하는 것이지만, 이것으로 측정되는 지구자기장은 크기와 방향을 가진 벡터량(量)이다. 크기는 전자기력(全磁氣力)으로 나타내며, 수평자기력과 수직자기력으로 분해된다. 그 방향은 복각(伏角)과 편각(偏角)으로 나타낸다. 이러한 자기량을 측정하는 데 쓰이는 자력계(磁力計)는 그 용도에 따라 자기컴퍼스, 수평자력계 및 수직자력계를 비롯하여, 포화철심(飽和鐵心)자력계·핵자기유도자력계(일명 프로톤자력계) 등이 있다. 자력계에 의한 측정결과는 필요에 따라 온도보정·일변화보정(日變化補正)·지형보정 등을 거친 후, 등자기력선도(等磁氣力線圖)나 자기이상(磁氣異常)의 단면도로 정리된다. 측정결과의 해석법으로는 ① 지하구조의 모델을 가정하여 자기이상을 계산한 다음 그 분포와 측정결과를 비교해서 지하구조를 해석하는 방법, ② 측정한 자기이상으로 직접 일정한 깊이의 자기력분포를 구함으로써 지하구조를 해석하는 방법이 있다. 근년에 공중자력계의 발달과 더불어, 이것을 항공기에 싣고 비행하면서 측정하는 항공자기탐사가 급속히 발달하고 있다. 항공자기탐사는 지상의 자기물체로 인한 요란(擾亂)의 영향이 적으며, 단시간에 아주 신속히 광역(廣域)측정을 할 수 있으므로, 탐사 초기단계에서 광역의 기반(基盤)구조와 퇴적물의 발달상태를 개략적으로 파악하는 수단으로 사용된다","磁氣探査,magnetic prospecting"
770,자력선광법,"광물이 가지는 자력의 차이를 이용하여 선별하는 방법. 자철광, 자류철광 등의 선별에 쓴다. 자성이 있는 광물은 자석에 붙고 자성이 없는 광물은 붙지 않는 성질을 이용 한다.",
771,자력선별,"광물에는 자석에 의하여 끌리는 성질, 즉 자성을 가진 것들과 그렇지 않은 것들이 있고, 또 자성을 가진 광물들 중에서도 자성이 매우 센 것으로부터 매우 약한 것에 이르기 까지 여러 가지가 있다. 그러므로, 자석을 가지고 자성이 보다 약한 광물로부터 보다 센 광물을 끌어낼 수가 있다. 이러한 원리를 이용하여 광물을 선별하는 방법을 자력 선별이라고 한다.",magnetic separation
772,자력탐광,"자력계로 지자기의 복각과 연직 분력을 측정하여 지하 자원의 존재를 알아내는 방법이다. 자철석이나 그 밖에 자성을 띤 광상이 지하에 매몰되어 있으면 그 영향으로 지자기 이상이 일어나기 때문에 광상의 위치와 그 규모를 추정할 수 있다. 자기탐사, 자력탐사는 동의어.","磁力探鑛, magnetic prospecting"
773,자력탐사법,"지구물리 탐사법들 중에서 가장 오랜 역사를 가진 탐사법이다. 지구남쪽은 S, 북쪽은 N으로 대자(帶磁, 자기를 띤 현상)되어 있는 하나의 큰 공모양의 자석과 같은 것으로 알고 있다. 그러므로, 지각이 균질하고 방향이 변하지 않았다면 지자기의 자기 자오선은 지도의 자오선과 거의 나란한 모양을 보이고, 자장의 강도도 위도에 따른 규칙성을 보일 것이다. 그러나, 실제로 곳곳에서 지자기를 측정하여 보면 국부적으로 방향과 강도의 차이를 나타낸다. 지상에서 지자기의 방향이 곳에 따라 다른 것은 지각 변동의 결과이며, 자장의 강도가 다른 것은 지역에 따라서 구성하는 광물이 대자되어 있는 강도가 다르기 때문이다. 자력탐사는 지표에서 지자기의 강도를 측정하여 이 측정값들이 장소에 따라 다르게 나타나는 것을 이용하여 지하의 대자율이 큰 광물들의 존재와 지각의 변동을 탐사하는 방법이다. 자력 탐광은 일반적으로 대자율이 큰 자철석과 티탄철석의 탐사에 주로 이용된다.",磁力探査法
774,자력탐사용자력계,자력탐사법 참조. 나침반 정도의 간단한 것부터 항공기에 싣고서 탐사하는 정밀한 것까지 종류가 다양하다.,
775,자성,광물에 따라 자성에 끌리는 것과 끌리지 않는 것이 있는데 이런 성질을 이용하여 자석으로 유용광물과 맥성을 분리할 수 있다.,磁性
776,자승,"로우프에 사용하는 가는 소선을, 즉 철사를 여러번 꼬아 만드는 것.",strand
777,자연분해,"흑색화약, 피크린산, TNT등의 방향족 니트로 화합물은 상온의 건조 상태에서 변화하거나 분해되지 않는다. 그러나 니트로셀룰로오스나 니트로글리세린과 같은 질산에스테르, 또는 이들을 함유하고 있는 화약류는 자연 분해를 일으키기 쉬울 뿐만 아니라, 때에 따라서는 자연 발화 또는 자연 폭발을 일으키게 된다. 특히, 금속가루가 배합된 혼합 화약류는 수분과 반응하여 산화작용을 일으키고 자연 발화 현상을 일으키기 쉬우며, 질산에스테르 등은 적은 양의 산으로도 분해 반응이 시작된다. 그러므로 자연 분해 가능성이 있는 폭약은 만들 때와 보관할 때 많은 주의를 기울여야 한다.",
778,자연전위법,"지각은 광물로 구성되어 있으며, 광물은 근본적으로 화합물이므로 성분, 농도, 온도, 그리고 압력 등에 따라서 분해되기도 하고 다른 화합물로 변하기도 한다. 이러한 현상이 지구 표면 근처에서 나타날 때 우리는 이를 화학적 풍화 작용이라고 말한다. 화학적 풍화 작용에 의하여 광물의 구성 성분은 산화나 환원 현상이 나타나고, 전자의 이동이 생길 뿐만 아니라, 용해된 성분의 농도와 확산 속도 등의 영향으로 자연계에 건전지와 같은 전기 화학적 현상인 전위차가 발생된다.",SP법
779,자연정화법,산성광산 폐수를 자연에서 발생하는 화학적 생물학적 작용을 이용하여 정화하는 방식을 말한다.,Passive treatment of AMD
